,vocab
961,ヨ
962,ラ
963,リ
964,ル
965,レ
966,ロ
967,ワ
968,ヲ
969,ン
970,ヴ
971,ヶ
972,・
973,ー
974,ㄧ
975,ㄨ
976,ㄱ
977,ㄲ
978,ㄳ
979,ㄴ
980,ㄵ
981,ㄶ
982,ㄷ
983,ㄸ
984,ㄹ
985,ㄺ
986,ㄻ
987,ㄼ
988,ㄽ
989,ㄾ
990,ㄿ
991,ㅀ
992,ㅁ
993,ㅂ
994,ㅃ
995,ㅄ
996,ㅅ
997,ㅆ
998,ㅇ
999,ㅈ
1000,ㅉ
1001,ㅊ
1002,ㅋ
1003,ㅌ
1004,ㅍ
1005,ㅎ
1006,ㅏ
1007,ㅐ
1008,ㅑ
1009,ㅒ
1010,ㅓ
1011,ㅔ
1012,ㅕ
1013,ㅖ
1014,ㅗ
1015,ㅘ
1016,ㅙ
1017,ㅚ
1018,ㅛ
1019,ㅜ
1020,ㅝ
1021,ㅞ
1022,ㅟ
1023,ㅠ
1024,ㅡ
1025,ㅢ
1026,ㅣ
1027,ㅤ
1028,ㆍ
1029,㈜
1030,㎏
1031,㎑
1032,㎒
1033,㎚
1034,㎜
1035,㎝
1036,㎞
1037,㎟
1038,㎡
1039,㎢
1040,㎥
1041,㎾
1042,一
1043,丁
1044,七
1045,万
1046,丈
1047,三
1048,上
1049,下
1050,不
1051,与
1052,丑
1053,专
1054,且
1055,世
1056,丘
1057,丙
1058,业
1059,东
1060,丞
1061,両
1062,並
1063,丨
1064,个
1065,中
1066,串
1067,丶
1068,丸
1069,丹
1070,为
1071,主
1072,丽
1073,丿
1074,乃
1075,久
1076,么
1077,义
1078,之
1079,乎
1080,乐
1081,乗
1082,乘
1083,乙
1084,九
1085,乞
1086,也
1087,习
1088,乱
1089,乳
1090,乾
1091,亀
1092,亂
1093,了
1094,予
1095,争
1096,事
1097,二
1098,于
1099,云
1100,互
1101,五
1102,井
1103,亚
1104,些
1105,亜
1106,亞
1107,亡
1108,交
1109,亥
1110,亦
1111,亨
1112,享
1113,京
1114,亭
1115,亮
1116,人
1117,什
1118,仁
1119,仇
1120,今
1121,介
1122,从
1123,仏
1124,仔
1125,仕
1126,他
1127,付
1128,仙
1129,代
1130,令
1131,以
1132,们
1133,仮
1134,仰
1135,仲
1136,件
1137,任
1138,份
1139,企
1140,伊
1141,伍
1142,伎
1143,伏
1144,伐
1145,休
1146,会
1147,伝
1148,传
1149,伯
1150,伴
1151,伸
1152,似
1153,伽
1154,但
1155,位
1156,低
1157,住
1158,佐
1159,佑
1160,体
1161,何
1162,余
1163,佛
1164,作
1165,你
1166,佳
1167,使
1168,來
1169,例
1170,侍
1171,供
1172,依
1173,価
1174,侯
1175,侵
1176,便
1177,係
1178,俊
1179,俗
1180,保
1181,俠
1182,信
1183,修
1184,俱
1185,俺
1186,倉
1187,個
1188,倍
1189,們
1190,倒
1191,候
1192,借
1193,値
1194,倫
1195,倭
1196,倶
1197,假
1198,偉
1199,偏
1200,做
1201,停
1202,健
1203,側
1204,偵
1205,偶
1206,偽
1207,傅
1208,傍
1209,傑
1210,傘
1211,備
1212,催
1213,傲
1214,傳
1215,傷
1216,傾
1217,僉
1218,働
1219,像
1220,僕
1221,僚
1222,僞
1223,僧
1224,價
1225,儀
1226,億
1227,儉
1228,儒
1229,儚
1230,償
1231,優
1232,儿
1233,允
1234,元
1235,兄
1236,充
1237,兆
1238,先
1239,光
1240,克
1241,免
1242,兎
1243,児
1244,兒
1245,党
1246,兜
1247,入
1248,內
1249,全
1250,兩
1251,兪
1252,八
1253,公
1254,六
1255,兮
1256,兰
1257,共
1258,关
1259,兴
1260,兵
1261,其
1262,具
1263,典
1264,兼
1265,冀
1266,内
1267,円
1268,冊
1269,再
1270,冒
1271,冗
1272,写
1273,军
1274,冠
1275,冥
1276,冨
1277,冬
1278,冰
1279,冲
1280,冴
1281,冶
1282,冷
1283,凄
1284,准
1285,凉
1286,凌
1287,凍
1288,凛
1289,凝
1290,几
1291,凡
1292,処
1293,凪
1294,凰
1295,凱
1296,凵
1297,凶
1298,凸
1299,凹
1300,出
1301,击
1302,函
1303,刀
1304,刃
1305,分
1306,切
1307,刊
1308,刑
1309,列
1310,刘
1311,初
1312,判
1313,別
1314,利
1315,别
1316,到
1317,制
1318,券
1319,刹
1320,刺
1321,刻
1322,則
1323,削
1324,前
1325,剛
1326,剣
1327,副
1328,割
1329,創
1330,劃
1331,劇
1332,劉
1333,劍
1334,劑
1335,力
1336,功
1337,加
1338,务
1339,劣
1340,动
1341,助
1342,努
1343,劫
1344,労
1345,効
1346,勃
1347,勅
1348,勇
1349,勉
1350,勒
1351,動
1352,勘
1353,務
1354,勝
1355,勞
1356,募
1357,勢
1358,勤
1359,勲
1360,勳
1361,勸
1362,勿
1363,匂
1364,包
1365,匕
1366,化
1367,北
1368,匠
1369,匡
1370,匹
1371,区
1372,医
1373,區
1374,十
1375,千
1376,升
1377,午
1378,半
1379,卍
1380,华
1381,卑
1382,卒
1383,卓
1384,協
1385,单
1386,南
1387,単
1388,博
1389,卜
1390,卞
1391,占
1392,卡
1393,卫
1394,卯
1395,印
1396,危
1397,即
1398,却
1399,卵
1400,卷
1401,卽
1402,卿
1403,厂
1404,厄
1405,厚
1406,原
1407,厨
1408,厭
1409,厳
1410,厶
1411,去
1412,县
1413,参
1414,參
1415,又
1416,叉
1417,及
1418,友
1419,双
1420,反
1421,収
1422,发
1423,叔
1424,取
1425,受
1426,变
1427,叡
1428,叢
1429,口
1430,古
1431,句
1432,叩
1433,只
1434,叫
1435,召
1436,可
1437,台
1438,叱
1439,史
1440,右
1441,叶
1442,号
1443,司
1444,吃
1445,各
1446,合
1447,吉
1448,同
1449,名
1450,后
1451,吏
1452,吐
1453,向
1454,吗
1455,君
1456,吟
1457,否
1458,吧
1459,含
1460,听
1461,吳
1462,吸
1463,吹
1464,吾
1465,呀
1466,呂
1467,呉
1468,告
1469,呑
1470,员
1471,呢
1472,周
1473,呪
1474,味
1475,呼
1476,命
1477,咆
1478,和
1479,咲
1480,咸
